"barcode","sample"
"HD-17-Su:346397","HD-17-Su"
"HD-17-Su:346398","HD-17-Su"
"HD-17-Su:346400","HD-17-Su"
"HD-17-Su:346401","HD-17-Su"
"HD-17-Su:346402","HD-17-Su"
"HD-17-Su:346403","HD-17-Su"
"HD-17-Su:346404","HD-17-Su"
"HD-17-Su:346405","HD-17-Su"
"HD-17-Su:346407","HD-17-Su"
"HD-17-Su:346408","HD-17-Su"
"HD-17-Su:346409","HD-17-Su"
"HD-17-Su:346410","HD-17-Su"
"HD-17-Su:346411","HD-17-Su"
"HD-17-Su:346412","HD-17-Su"
"HD-17-Su:346413","HD-17-Su"
"HD-17-Su:346414","HD-17-Su"
"HD-17-Su:346415","HD-17-Su"
"HD-17-Su:346416","HD-17-Su"
"HD-17-Su:346417","HD-17-Su"
"HD-17-Su:346418","HD-17-Su"
"HD-17-Su:346419","HD-17-Su"
"HD-17-Su:346420","HD-17-Su"
"HD-17-Su:346422","HD-17-Su"
"HD-17-Su:346423","HD-17-Su"
"HD-17-Su:346424","HD-17-Su"
"HD-17-Su:346425","HD-17-Su"
"HD-17-Su:346426","HD-17-Su"
"HD-17-Su:346427","HD-17-Su"
"HD-17-Su:346428","HD-17-Su"
"HD-17-Su:346429","HD-17-Su"
"HD-17-Su:346430","HD-17-Su"
"HD-17-Su:346431","HD-17-Su"
"HD-17-Su:346432","HD-17-Su"
"HD-17-Su:346433","HD-17-Su"
"HD-17-Su:346434","HD-17-Su"
"HD-17-Su:346435","HD-17-Su"
"HD-17-Su:346436","HD-17-Su"
"HD-17-Su:346437","HD-17-Su"
"HD-17-Su:346438","HD-17-Su"
"HD-17-Su:346439","HD-17-Su"
"HD-17-Su:346440","HD-17-Su"
"HD-17-Su:346441","HD-17-Su"
"HD-17-Su:346442","HD-17-Su"
"HD-17-Su:346443","HD-17-Su"
"HD-17-Su:346444","HD-17-Su"
"HD-17-Su:346445","HD-17-Su"
"HD-17-Su:346446","HD-17-Su"
"HD-17-Su:346447","HD-17-Su"
"HD-17-Su:346448","HD-17-Su"
"HD-17-Su:346449","HD-17-Su"
"HD-17-Su:346450","HD-17-Su"
"HD-17-Su:346452","HD-17-Su"
"HD-17-Su:346453","HD-17-Su"
"HD-17-Su:346454","HD-17-Su"
"HD-17-Su:346455","HD-17-Su"
"HD-17-Su:346456","HD-17-Su"
"HD-17-Su:346457","HD-17-Su"
"HD-17-Su:346458","HD-17-Su"
"HD-17-Su:346459","HD-17-Su"
"HD-17-Su:346460","HD-17-Su"
"HD-17-Su:346461","HD-17-Su"
"HD-17-Su:346462","HD-17-Su"
"HD-17-Su:346463","HD-17-Su"
"HD-17-Su:346464","HD-17-Su"
"HD-17-Su:346465","HD-17-Su"
"HD-17-Su:346466","HD-17-Su"
"HD-17-Su:346467","HD-17-Su"
"HD-17-Su:346468","HD-17-Su"
"HD-17-Su:346469","HD-17-Su"
"HD-17-Su:346471","HD-17-Su"
"HD-17-Su:346472","HD-17-Su"
"HD-17-Su:346473","HD-17-Su"
"HD-17-Su:346474","HD-17-Su"
"HD-17-Su:346476","HD-17-Su"
"HD-17-Su:346477","HD-17-Su"
"HD-17-Su:346478","HD-17-Su"
"HD-17-Su:346479","HD-17-Su"
"HD-17-Su:346480","HD-17-Su"
"HD-17-Su:346481","HD-17-Su"
"HD-17-Su:346482","HD-17-Su"
"HD-17-Su:346483","HD-17-Su"
"HD-17-Su:346484","HD-17-Su"
"HD-17-Su:346485","HD-17-Su"
"HD-17-Su:346486","HD-17-Su"
"HD-17-Su:346487","HD-17-Su"
"HD-17-Su:346490","HD-17-Su"
"HD-17-Su:346491","HD-17-Su"
"HD-17-Su:346493","HD-17-Su"
"HD-17-Su:346494","HD-17-Su"
"HD-17-Su:346495","HD-17-Su"
"HD-17-Su:346496","HD-17-Su"
"HD-17-Su:346497","HD-17-Su"
"HD-17-Su:346498","HD-17-Su"
"HD-17-Su:346499","HD-17-Su"
"HD-17-Su:346500","HD-17-Su"
"HD-17-Su:346501","HD-17-Su"
"HD-17-Su:346502","HD-17-Su"
"HD-17-Su:346503","HD-17-Su"
"HD-17-Su:346504","HD-17-Su"
"HD-17-Su:346505","HD-17-Su"
"HD-17-Su:346506","HD-17-Su"
"HD-17-Su:346508","HD-17-Su"
"HD-17-Su:346509","HD-17-Su"
"HD-17-Su:346510","HD-17-Su"
"HD-17-Su:346511","HD-17-Su"
"HD-17-Su:346512","HD-17-Su"
"HD-17-Su:346513","HD-17-Su"
"HD-17-Su:346514","HD-17-Su"
"HD-17-Su:346515","HD-17-Su"
"HD-17-Su:346516","HD-17-Su"
"HD-17-Su:346517","HD-17-Su"
"HD-17-Su:346519","HD-17-Su"
"HD-17-Su:346520","HD-17-Su"
"HD-17-Su:346521","HD-17-Su"
"HD-17-Su:346522","HD-17-Su"
"HD-17-Su:346523","HD-17-Su"
"HD-17-Su:346524","HD-17-Su"
"HD-17-Su:346525","HD-17-Su"
"HD-17-Su:346526","HD-17-Su"
"HD-17-Su:346527","HD-17-Su"
"HD-17-Su:346529","HD-17-Su"
"HD-17-Su:346530","HD-17-Su"
"HD-17-Su:346531","HD-17-Su"
"HD-17-Su:346533","HD-17-Su"
"HD-17-Su:346534","HD-17-Su"
"HD-17-Su:346535","HD-17-Su"
"HD-17-Su:346536","HD-17-Su"
"HD-17-Su:346537","HD-17-Su"
"HD-17-Su:346538","HD-17-Su"
"HD-17-Su:346539","HD-17-Su"
"HD-17-Su:346540","HD-17-Su"
"HD-17-Su:346541","HD-17-Su"
"HD-17-Su:346542","HD-17-Su"
"HD-17-Su:346543","HD-17-Su"
"HD-17-Su:346544","HD-17-Su"
"HD-17-Su:346545","HD-17-Su"
"HD-17-Su:346546","HD-17-Su"
"HD-17-Su:346547","HD-17-Su"
"HD-17-Su:346548","HD-17-Su"
"HD-17-Su:346549","HD-17-Su"
"HD-17-Su:346550","HD-17-Su"
"HD-17-Su:346551","HD-17-Su"
"HD-17-Su:346552","HD-17-Su"
"HD-17-Su:346553","HD-17-Su"
"HD-17-Su:346554","HD-17-Su"
"HD-17-Su:346555","HD-17-Su"
"HD-17-Su:346556","HD-17-Su"
"HD-17-Su:346557","HD-17-Su"
"HD-17-Su:346558","HD-17-Su"
"HD-17-Su:346559","HD-17-Su"
"HD-17-Su:346560","HD-17-Su"
"HD-17-Su:346561","HD-17-Su"
"HD-17-Su:346562","HD-17-Su"
"HD-17-Su:346563","HD-17-Su"
"HD-17-Su:346564","HD-17-Su"
"HD-17-Su:346565","HD-17-Su"
"HD-17-Su:346566","HD-17-Su"
"HD-17-Su:346567","HD-17-Su"
"HD-17-Su:346568","HD-17-Su"
"HD-17-Su:346569","HD-17-Su"
"HD-17-Su:346570","HD-17-Su"
"HD-17-Su:346571","HD-17-Su"
"HD-17-Su:346572","HD-17-Su"
"HD-17-Su:346573","HD-17-Su"
"HD-17-Su:346574","HD-17-Su"
"HD-17-Su:346575","HD-17-Su"
"HD-17-Su:346576","HD-17-Su"
"HD-17-Su:346577","HD-17-Su"
"HD-17-Su:346578","HD-17-Su"
"HD-17-Su:346579","HD-17-Su"
"HD-17-Su:346580","HD-17-Su"
"HD-17-Su:346581","HD-17-Su"
"HD-17-Su:346582","HD-17-Su"
"HD-17-Su:346583","HD-17-Su"
"HD-17-Su:346584","HD-17-Su"
"HD-17-Su:346585","HD-17-Su"
"HD-17-Su:346586","HD-17-Su"
"HD-17-Su:346587","HD-17-Su"
"HD-17-Su:346588","HD-17-Su"
"HD-17-Su:346589","HD-17-Su"
"HD-17-Su:346590","HD-17-Su"
"HD-17-Su:346591","HD-17-Su"
"HD-17-Su:346592","HD-17-Su"
"HD-17-Su:346593","HD-17-Su"
"HD-17-Su:346594","HD-17-Su"
"HD-17-Su:346595","HD-17-Su"
"HD-17-Su:346596","HD-17-Su"
"HD-17-Su:346597","HD-17-Su"
"HD-17-Su:346598","HD-17-Su"
"HD-17-Su:346599","HD-17-Su"
"HD-17-Su:346600","HD-17-Su"
"HD-17-Su:346601","HD-17-Su"
"HD-17-Su:346602","HD-17-Su"
"HD-17-Su:346603","HD-17-Su"
"HD-17-Su:346604","HD-17-Su"
"HD-17-Su:346605","HD-17-Su"
"HD-17-Su:346606","HD-17-Su"
"HD-17-Su:346607","HD-17-Su"
"HD-17-Su:346609","HD-17-Su"
"HD-17-Su:346610","HD-17-Su"
"HD-17-Su:346611","HD-17-Su"
"HD-17-Su:346612","HD-17-Su"
"HD-17-Su:346613","HD-17-Su"
"HD-17-Su:346614","HD-17-Su"
"HD-17-Su:346615","HD-17-Su"
"HD-17-Su:346616","HD-17-Su"
"HD-17-Su:346617","HD-17-Su"
"HD-17-Su:346618","HD-17-Su"
"HD-17-Su:346619","HD-17-Su"
"HD-17-Su:346620","HD-17-Su"
"HD-17-Su:346621","HD-17-Su"
"HD-17-Su:346622","HD-17-Su"
"HD-17-Su:346623","HD-17-Su"
"HD-17-Su:346624","HD-17-Su"
"HD-17-Su:346626","HD-17-Su"
"HD-17-Su:346627","HD-17-Su"
"HD-17-Su:346628","HD-17-Su"
"HD-17-Su:346630","HD-17-Su"
"HD-17-Su:346631","HD-17-Su"
"HD-17-Su:346632","HD-17-Su"
"HD-17-Su:346634","HD-17-Su"
"HD-17-Su:346635","HD-17-Su"
"HD-17-Su:346636","HD-17-Su"
"HD-17-Su:346637","HD-17-Su"
"HD-17-Su:346638","HD-17-Su"
"HD-17-Su:346639","HD-17-Su"
"HD-17-Su:346640","HD-17-Su"
"HD-17-Su:346641","HD-17-Su"
"HD-17-Su:346642","HD-17-Su"
"HD-17-Su:346643","HD-17-Su"
"HD-17-Su:346644","HD-17-Su"
"HD-17-Su:346645","HD-17-Su"
"HD-17-Su:346646","HD-17-Su"
"HD-17-Su:346647","HD-17-Su"
"HD-17-Su:346648","HD-17-Su"
"HD-17-Su:346649","HD-17-Su"
"HD-17-Su:346650","HD-17-Su"
"HD-17-Su:346651","HD-17-Su"
"HD-17-Su:346652","HD-17-Su"
"HD-17-Su:346654","HD-17-Su"
"HD-17-Su:346655","HD-17-Su"
"HD-17-Su:346656","HD-17-Su"
"HD-17-Su:346657","HD-17-Su"
"HD-17-Su:346658","HD-17-Su"
"HD-17-Su:346659","HD-17-Su"
"HD-17-Su:346660","HD-17-Su"
"HD-17-Su:346661","HD-17-Su"
"HD-17-Su:346662","HD-17-Su"
"HD-17-Su:346663","HD-17-Su"
"HD-17-Su:346664","HD-17-Su"
"HD-17-Su:346665","HD-17-Su"
"HD-17-Su:346666","HD-17-Su"
"HD-17-Su:346667","HD-17-Su"
"HD-17-Su:346669","HD-17-Su"
"HD-17-Su:346670","HD-17-Su"
"HD-17-Su:346671","HD-17-Su"
"HD-17-Su:346672","HD-17-Su"
"HD-17-Su:346673","HD-17-Su"
"HD-17-Su:346675","HD-17-Su"
"HD-17-Su:346676","HD-17-Su"
"HD-17-Su:346677","HD-17-Su"
"HD-17-Su:346678","HD-17-Su"
"HD-17-Su:346679","HD-17-Su"
"HD-17-Su:346681","HD-17-Su"
"HD-17-Su:346682","HD-17-Su"
"HD-17-Su:346683","HD-17-Su"
"HD-17-Su:346684","HD-17-Su"
"HD-17-Su:346685","HD-17-Su"
"HD-17-Su:346686","HD-17-Su"
"HD-17-Su:346687","HD-17-Su"
"HD-17-Su:346688","HD-17-Su"
"HD-17-Su:346689","HD-17-Su"
"HD-17-Su:346690","HD-17-Su"
"HD-17-Su:346691","HD-17-Su"
"HD-17-Su:346692","HD-17-Su"
