"barcode","sample","celltype","UMAP_1","UMAP_2"
"HD-19-Su:347423","HD-19-Su","4",-5.32798711534373,-3.99399488972405
"HD-19-Su:347424","HD-19-Su","5",-5.45800201173655,1.88542837096473
"HD-19-Su:347425","HD-19-Su","10",-1.59802691217295,-6.42550724552849
"HD-19-Su:347426","HD-19-Su","3",-2.49599472757212,-7.63664406346062
"HD-19-Su:347427","HD-19-Su","2",-7.15169708009593,6.9981225152137
"HD-19-Su:347428","HD-19-Su","3",-2.91215459581248,-7.95094078587273
"HD-19-Su:347429","HD-19-Su","5",-4.55276719804637,2.38957768870613
"HD-19-Su:347430","HD-19-Su","2",-5.17286864992014,5.79585296107551
"HD-19-Su:347432","HD-19-Su","4",-4.82531205888621,-5.05496710346917
"HD-19-Su:347433","HD-19-Su","2",-6.67031757112376,6.59783250285408
"HD-19-Su:347434","HD-19-Su","7",5.60212047819265,-12.2945296149133
"HD-19-Su:347435","HD-19-Su","4",-4.4631637739741,-4.13591545628289
"HD-19-Su:347436","HD-19-Su","2",-7.70105735536448,5.52334815455696
"HD-19-Su:347437","HD-19-Su","2",-6.88892881151072,6.80631524516365
"HD-19-Su:347438","HD-19-Su","4",-5.27075616594187,-5.17359083698967
"HD-19-Su:347439","HD-19-Su","4",-4.50195495363108,-4.8319613318322
"HD-19-Su:347440","HD-19-Su","4",-4.91460649247996,-4.97547358082512
"HD-19-Su:347441","HD-19-Su","2",-7.81741515870921,5.98592025233528
"HD-19-Su:347442","HD-19-Su","2",-5.19459907289378,6.30093985987922
"HD-19-Su:347443","HD-19-Su","5",-5.95152990098826,1.83156305743477
"HD-19-Su:347444","HD-19-Su","5",-6.36931363817088,3.52141434146187
"HD-19-Su:347445","HD-19-Su","3",-3.53933374162547,-8.78008240269402
"HD-19-Su:347446","HD-19-Su","5",-4.64882652040354,3.3925452847602
"HD-19-Su:347447","HD-19-Su","3",-2.39547721620432,-7.57726162480095
"HD-19-Su:347449","HD-19-Su","4",-6.00223056550852,-5.80601566838005
"HD-19-Su:347450","HD-19-Su","10",-1.28839747186533,-6.34302443073967
"HD-19-Su:347451","HD-19-Su","8",-6.40463725801341,7.8290322442176
"HD-19-Su:347452","HD-19-Su","2",-6.93196813341013,3.80182558490059
"HD-19-Su:347453","HD-19-Su","3",-4.32613651033274,-8.68701427983025
"HD-19-Su:347454","HD-19-Su","4",-5.50528852220408,-5.18088835285881
"HD-19-Su:347455","HD-19-Su","2",-6.4874819922053,6.72696286631843
"HD-19-Su:347456","HD-19-Su","13",-0.548492591341653,-15.6423794607995
"HD-19-Su:347457","HD-19-Su","5",-6.11381379838816,1.98944884730598
"HD-19-Su:347458","HD-19-Su","2",-4.89750186677805,6.80682307673713
"HD-19-Su:347459","HD-19-Su","2",-5.9330820250117,4.17970401240608
"HD-19-Su:347460","HD-19-Su","4",-4.62303392167918,-4.70246904896477
"HD-19-Su:347461","HD-19-Su","13",-0.711182634791055,-15.6553370337365
"HD-19-Su:347463","HD-19-Su","4",-4.82137481447093,-4.54098576115349
"HD-19-Su:347464","HD-19-Su","4",-5.35149184938304,-5.03849190281609
"HD-19-Su:347466","HD-19-Su","2",-7.03888456102244,7.13019496394416
"HD-19-Su:347467","HD-19-Su","5",-6.12660400148264,2.19165665103218
"HD-19-Su:347468","HD-19-Su","4",-5.43898765321604,-3.96457689808586
"HD-19-Su:347469","HD-19-Su","9",9.25893219236501,-3.52341908024529
"HD-19-Su:347470","HD-19-Su","5",-5.47578994508616,1.08252376509925
"HD-19-Su:347471","HD-19-Su","2",-5.95894090410105,6.27319604350349
"HD-19-Su:347472","HD-19-Su","5",-4.50311509843699,2.08613330317756
"HD-19-Su:347473","HD-19-Su","4",-4.03613988633982,-5.66446274327019
"HD-19-Su:347474","HD-19-Su","7",7.30337436918386,-11.4555765967248
"HD-19-Su:347475","HD-19-Su","2",-5.74342099901072,6.95099812937996
"HD-19-Su:347477","HD-19-Su","2",-5.05567733522288,6.18384581996223
"HD-19-Su:347478","HD-19-Su","2",-5.90243045564524,7.19352799845955
